"word","interim_degree","final_degree"
"ancillary",22,0
"anda",17,0
"andor",180,67
"andy",0,38
"angeles",0,42
"ann",0,17
"annual",0,3
"another",105,161
"anothera",0,20
"answer",49,44
"answering",26,0
"answers",0,24
"anthropology",23,37
"anticipated",0,12
"anticipates",0,11
"ap",0,9
"app",21,0
"apparent",9,0
"appeal",65,40
"appealing",17,0
"appeared",0,8
"appearing",0,17
"appears",0,10
"appendix",7,71
"appendixes",0,21
"apple",0,1
"applicability",0,18
"applicable",0,107
"application",127,239
"applications",313,201
"applied",156,241
"applies",21,0
"appllied",36,0
"apply",197,168
"applying",65,125
"appreciate",45,0
"appreciated",0,12
"appreciation",22,10
"apprenticeships",0,16
"approach",154,161
"approaches",404,327
"approachfor",14,0
"approaching",0,11
"appropriate",255,285
"appropriately",13,105
"appropriateness",23,12
"approval",0,15
"approved",19,163
"approximately",0,27
"approximation",0,25
"apps",0,16
"april",13,14
"arbor",0,17
"architecture",0,75
"area",103,127
"areas",232,281
"argue",63,16
"argued",20,0
"arise",91,94
"arisen",0,16
"arises",12,0
"arising",0,9
"around",157,224
"array",34,56
"arrival",7,0
"art",58,133
"articulate",0,67
"articulately",0,22
"articulating",31,0
"artifacts",0,64
"artificial",36,46
"artists",0,14
"arts",40,184
"artwork",9,0
"asa",17,61
"asai",10,0
"asas",0,9
"ascertain",19,0
"ascertaining",55,0
"ashamed",12,13
"ashua",0,23
"ask",14,19
"asked",0,59
"asking",43,13
"aspects",199,162
"aspiring",0,11
"aspx",0,2
"assembling",0,8
"assembly",0,13
"assemblys",0,5
"assert",0,13
"assertions",15,0
"asserts",0,22
"assess",27,118
"assessed",25,11
"assessing",73,80
"assessment",215,189
"assessments",31,20
"assi",20,0
"assign",0,21
"assignments",50,33
"assist",58,97
"assistance",0,47
"assistant",38,28
"assistants",17,66
"assistantship",0,18
"assistantships",6,0
"assisting",0,9
"associate",0,15
"associated",59,164
"associates",51,157
"association",66,90
"asssociations",11,0
"assume",0,17
"assumptions",0,13
"assurance",0,9
"assurances",20,0
"astronomy",23,37
"atlanta",35,38
"attack",0,33
"attainment",0,16
"attempts",0,4
"attend",0,17
"attendants",16,0
"attention",0,30
"attitudes",17,0
"attract",136,123
"attracting",132,52
"attractive",0,59
"attribute",0,20
"attributed",0,5
"attributes",0,28
"attrition",0,10
"audience",83,83
"audiences",85,24
"augmented",9,16
"august",120,41
"austin",21,58
"authoring",0,9
"automated",0,25
"automaticallyand",0,6
"autonomous",0,19
"autonomously",0,5
"autonomy",0,9
"availability",10,122
"available",188,302
"averett",0,1
"avoid",16,128
"avoiding",24,38
"avvisati",0,77
"awaits",0,11
"aware",0,69
"awareness",14,122
"away",0,34
"awesome",13,13
"b",7,50
"ba",0,21
"bachelor",0,10
"bachelors",61,92
"back",34,0
"background",61,80
"backgrounds",172,132
"backing",0,18
"backkgrounds",20,0
"balance",14,0
"balanced",0,20
"balancing",0,44
"ball",0,1
"ballantine",0,3
"band",0,29
"bandwidth",0,17
"bank",0,5
"barriers",0,74
"barrow",0,13
"baru",0,38
"base",0,48
"based",197,214
"basemetrics",0,97
"basic",46,198
"basis",59,13
"baskin",0,4
"batch",0,24
"baumer",0,0
"bay",0,25
"bayesian",26,0
"baywilliams",0,22
"bcceea",1,0
"beautifulsoup",0,15
"beauty",0,26
"become",26,174
"becomes",0,49
"becoming",36,25
"beeen",20,0
"befits",0,37
"began",27,49
"begin",61,75
"beginning",102,133
"begins",20,32
"begun",0,44
"behave",0,21
"behavior",10,53
"behavioral",0,18
"behaviors",17,0
"behind",0,27
"behoove",0,17
"behooves",0,22
"behrman",0,77
"beings",32,17
"beliefs",0,25
"belongs",0,25
"beneficial",186,85
"benefit",223,261
"benefited",0,12
"benefits",117,82
"berends",0,21
"berg",0,1
"bergstroms",0,22
"berk",21,0
"berkeley",63,204
"berkeleyeducurriculum",0,0
"berkeleyedunewsdatascienceeducationopportunities",0,2
"berman",0,19
"bernoulli",0,0
"best",329,277
"better",142,213
"betty",9,0
"beyond",83,95
"bhef",0,42
"bhefcomsitesdefaultfilesbhefinvestingindsapdf",0,0
"bhew",9,0
"bi",0,1
"bias",72,95
"biased",69,29
"biases",18,61
"biases",0,2
"biemer",0,1
"big",57,332
"bigdata",0,7
"billions",0,34
"biographical",0,32
"biographies",0,21
"biological",33,0
"biology",15,36
"biostatisstics",36,0
"biostatistics",42,0
"birch",10,0
"bjc",0,2
"black",0,29
"blacksburg",0,22
"blend",0,18
"blended",50,0
"blooms",0,22
"blur",28,0
"board",40,64
"bodies",0,23
"body",20,118
"boland",0,18
"bonds",0,22
"books",0,3
"boot",0,260
"born",0,3
"borrowed",0,26
"borrowing",24,16
"bothoften",18,0
"boundaries",14,50
"box",215,172
"boyd",12,0
"bp",0,1
"braganza",0,1
"brandnew",0,16
"bray",0,1
"breaches",19,0
"breadth",23,63
"bren",43,9
"bressoud",0,1
"brian",0,42
"bridge",30,36
"bridges",0,19
"bridging",0,4
"brief",25,0
"brighthive",0,42
"bring",96,0
"bringing",40,14
"brings",83,9
"britain",20,0
"broad",288,307
"broaden",38,29
"broadening",13,93
"broader",103,162
"broadest",0,9
"broadly",37,70
"brochure",0,11
"broker",0,19
"brought",17,24
"browsedatasciencelanguages=en",0,8
"browser",0,52
"browsing",0,10
"bryant",0,2
"bs",0,104
"budget",50,0
"budgetary",0,25
"budgets",0,57
"build",257,198
"builders",0,16
"building",163,149
"buildings",0,19
"builds",18,59
"built",14,162
"bullshit",0,6
"burden",0,22
"bureau",26,48
"burgeoning",0,9
"buried",0,29
"burnett",0,39
"buser",0,77
"business",130,444
"business",0,1
"businesses",26,19
"businesshigher",0,22
"busy",20,0
"butler",5,6
"byproducts",0,13
"c",12,67
"c",0,61
"cadre",0,52
"calculations",55,0
"calculus",0,153
"california",82,249
"call",61,13
"called",35,0
"calling",31,42
"cambridge",0,9
"cameras",32,30
"camp",23,95
"campaigns",34,36
"campbell",0,2
"campo",0,38
"camps",39,196
"campus",20,38
"campuses",35,77
"campuswide",0,46
"can",786,1000
"canadian",13,0
"cancer",12,30
"cancerous",31,16
"candid",0,28
"candidates",13,60
"candor",18,13
"canned",0,9
"capabilities",12,50
"capability",0,59
"capable",17,12
"capacities",27,15
"capacity",37,74
"capitalization",0,13
"capstone",99,381
"capstonelike",18,0
"capstones",27,2
"capture",0,43
"captured",13,0
"captures",0,38
"car",0,13
"card",0,27
"cards",32,0
"care",79,45
"career",124,333
"careers",60,161
"careful",11,35
"carefully",27,41
"carl",0,22
"carnegie",30,30
"carnegie",0,17
"carolina",0,26
"carpentries",0,29
"carpentry",0,18
"carreer",23,0
"carried",0,14
"carriquiry",0,4
"carry",15,0
"carrying",18,0
"case",84,125
"cases",0,74
"catalyze",26,0
"categories",0,56
"category",17,0
"causal",0,60
"causally",19,0
"causes",0,25
"cbe",0,4
"ccac",0,42
"ccgatecheducontentminorcomputationaldataanalysis",0,2
"ceded",21,0
"celestial",55,0
"cellular",0,15
"census",39,48
"censuses",18,0
"center",84,50
"centered",19,15
"centers",64,86
"central",29,36
"centrality",0,11
"century",37,0
"ceremony",13,0
"certain",0,171
"certainly",27,40
"certificate",36,296
"certificates",51,201
"certify",51,53
"cetinkayarundel",21,0
"cha",0,17
"chain",0,39
"chairs",0,21
"chaitan",0,38
"challenge",8,178
"challenges",136,341
"challenging",40,128
"chance",19,32
"change",118,181
"changed",7,9
"changes",234,70
"changing",54,50
"chapter",133,216
"chapters",11,30
"character",0,9
"characteristic",0,14
"characteristics",31,74
"characterize",45,20
"charge",0,28
"charles",0,42
"chart",31,16
"check",0,14
"checking",0,24
"chemicals",0,3
"chemistry",23,37
"chemists",18,14
"chen",16,19
"chetty",0,14
"chettys",0,10
"chiang",0,18
"chicago",40,35
"chief",10,10
"children",0,28
"childrens",15,0
"chin",0,23
"china",0,13
"chinas",0,6
"choice",0,24
"choices",53,84
"choose",58,4
"choosing",64,41
"choosing",0,9
"chosen",17,45
"chuang",0,40
"cities",46,52
"citizen",0,61
"citizens",0,80
"citizenship",15,0
"city",57,84
"civil",23,54
"claims",0,12
"clark",30,0
"class",33,91
"classes",104,198
"classification",0,40
"classroom",116,160
"classrooms",0,22
"classwork",17,19
"clean",0,70
"cleaning",0,59
"cleansing",0,28
"clear",26,104
"clearer",18,0
"clearinghouse",16,48
"clearly",77,42
"client",23,29
"clients",0,12
"climate",21,0
"clinical",12,14
"closely",10,33
"closest",0,26
"cloud",0,205
"cloudbased",0,28
"clustering",0,27
"clusters",0,19
"cmda",0,16
"cmj",0,1
"co",65,0
"coaching",15,0
"cocurricular",67,0
"code",46,177
"coded",0,13
"codella",12,15
"codeorg",0,17
"codes",0,119
"codified",0,27
"coding",0,136
"cognition",0,19
"cognitive",0,54
"cognizant",0,28
"coherence",0,13
"cohesion",27,0
"cohesive",0,28
"cohortbased",0,9
"cohorts",18,31
"collaboraative",27,0
"collaborate",77,46
"collaborating",0,41
"collaboration",202,247
"collaborations",40,26
"collaborative",82,29
"collaboratively",0,14
"collateral",50,0
"colleagues",30,25
"collect",76,146
"collected",120,72
"collecting",0,75
"collection",152,165
"collections",0,62
"college",139,495
"collegeedupreviewprogramphpcatoid=poid=returnto=",0,4
"collegeeduundergraduatedatasciencedata",0,9
"collegelevel",0,10
"colleges",169,191
"colorado",0,18
"columbia",19,44
"columbus",23,42
"­columbus",0,15
"comajor",0,28
"combination",19,66
"combine",26,83
"combined",14,43
"combines",24,0
"combining",0,12
"comcommonssicgibinssialiashtmlfid=imlusen",0,0
"come",53,69
"comes",32,0
"comfortable",36,0
"coming",0,39
"comments",24,60
"commerce",0,10
"commitment",0,25
"committee",280,407
"committees",10,62
"common",96,201
"­common",0,14
"commonalities",0,7
"commonly",75,51
"commons",0,26
"commonwealth",24,0
"commun",36,0
"communicate",68,150
"communicate",0,53
"communicated",39,0
"communicating",48,98
"communication",316,347
"communications",0,73
"communicative",0,16
"communicators",0,10
"communities",75,112
"community",317,446
"communitybased",25,0
"companies",32,66
"company",36,12
"comparable",12,30
"comparative",7,0
"comparatively",0,16
"compare",14,43
"compared",41,0
"comparison",68,15
"comparisons",6,30
"compassion",18,13
"compelled",0,19
"compelling",35,56
"compendium",10,0
"compete",0,7
"competence",0,9
"competencies",19,33
"competency",0,98
"competes",0,18
"competing",0,19
"competition",27,0
"competitions",33,0
"competitive",0,12
"competitiveness",0,76
"complement",51,100
"complementary",17,62
"complementedbut",15,0
"complete",22,61
"completed",0,18
"completes",14,0
"completing",0,99
"completion",42,202
"complex",70,262
"complexities",46,0
"complexity",19,49
"compliance",9,0
"complicated",12,0
"complicates",0,10
"complication",0,21
"component",13,20
"components",167,38
"composed",0,22
"composing",10,0
"compound",10,13
"compounded",0,16
"comprehend",55,0
"comprehensive",9,70
"comprising",0,18
"compromise",0,11
"computation",45,64
"computational",187,403
"computationally",16,0
"computationdriven",12,0
"computer",276,671
"computer",0,29
"computerized",43,0
"computers",29,24
"computing",259,434
"compuutational",29,0
"comttzwusenacnmediapdfaccentureuniversalprinciplesdataethicspdf",0,2
"comttzwusenacnmediapdfaccenture­universalprinciplesdataethicspdf",0,2
"concentration",0,69
"concentrations",19,0
"concept",21,85
"conceptdriven",11,0
"concepts",341,366
"conceptsskills",0,109
"conceptual",26,26
"concerned",16,0
"concerning",19,0
"concerns",40,10
"concert",0,9
"concerted",0,12
"concise",0,78
"conclude",18,22
"concludes",0,97
"conclusions",60,167
"concurrently",55,38
"condition",0,17
"conditions",19,36
"conduct",133,98
"conducted",24,83
"conducting",27,11
"conferencce",11,0
"conference",13,48
"conferences",0,92
"confidence",18,64
"confidential",18,9
"confidentiality",0,42
"confidently",0,18
"conflict",0,29
"conflicting",0,28
"conflicts",0,16
"confounding",31,44
"confront",10,44
"confronted",0,16
"congress",9,0
"conjunction",34,27
"conn",0,5
"connect",20,64
"connected",11,87
"connectedness",36,0
"connection",0,52
"connections",0,39
"connector",34,104
"connectors",29,24
"consensus",23,45
"consent",23,23
"consequence",0,13
"consequences",59,132
"consequently",0,5
"consider",175,281
"considerable",21,63
"consideration",76,30
"considerations",232,215
"considered",12,32
"considering",44,183
"considers",0,24
"consist",0,22
"consistency",18,35
"consistent",0,28
"consistently",26,0
"consisting",23,0
"consists",0,165
"consortium",0,22
"constant",0,26
"constantly",0,13
"constitutes",0,43
"constrained",0,42
"constraints",16,39
"construct",0,116
"constructed",13,0
"constructing",34,81
"construction",19,33
"constructive",0,19
"consult",36,0
"consulting",17,44
"consume",0,13
"consumer",16,38
"contacts",0,13
"contained",18,0
"contains",13,0
"contamination",15,0
"content",240,289
"contentlevel",0,62
"contents",0,67
"contested",15,0
"context",122,113
"contexts",117,60
"contextual",0,52
"continual",0,22
"continually",0,6
"continue",19,189
"continued",0,30
"continues",0,57
"continuing",37,53
"continuous",0,90
"continuously",0,123
"contribute",0,20
"contributed",41,32
"contributing",0,21
"contribution",13,0
"contributions",43,10
"control",77,35
"controlled",0,22
"controversial",0,12
"convened",0,27
"convening",0,57
"conventional",0,18
"conversation",0,20
"conversations",18,62
"convey",0,20
"conveyed",140,31
"conveying",27,0
"convincing",0,16
"coommunity",36,0
"cooperation",0,18
"cooperative",11,0
"coordinate",0,12
"coordinated",19,0
"coordinates",12,0
"coordinating",0,51
"coordination",27,13
"cope",15,0
"copies",25,0
"core",109,229
"corpora",0,9
"corporate",0,19
"corrections",0,12
"correctly",0,25
"corresponding",27,0
"cost",0,65
"costeffectiveness",12,12
"costs",16,47
"cotaught",23,0
"coteaching",23,22
"couching",0,17
"council",0,3
"counteract",18,0
"country",74,47
"counts",0,12
"county",0,50
"coupled",16,91
"course",346,652
"courseload",27,0
"coursera",0,141
"courseraorgspecializationsexecutivedatascience",0,2
"courses",489,956
"coursesalthough",0,26
"coursescswashingtoneducoursescse",0,12
"coursesfall",0,8
"coursesfstatstatf",0,5
"coursework",73,247
"covenant",31,28
"cover",0,49
"coverage",24,0
"covered",0,11
"covering",0,46
"covers",0,75
"cra",0,12
"cracks",19,0
"create",154,314
"created",57,244
"creates",33,28
"creating",76,187
"creation",29,75
"creative",34,59
"creativity",0,41
"creators",0,20
"credit",10,82
"creditbearing",11,0
"crediting",0,25
"crime",12,17
"criminal",21,0
"criminals",0,30
"crisis",24,0
"criteria",13,47
"critical",101,290
"critically",15,18
"criticalthinking",0,67
"crop",9,37
"cross",0,20
"crossdepartment",40,0
"crossdepartmental",0,17
"crossdisciplinary",93,43
"crossindustry",0,78
"crossinstitutional",29,0
"crosslisted",0,43
"crosspollination",0,13
"crossvalidation",0,27
"crucial",30,106
"crunch",0,8
"cruz",0,18
"crystallize",0,27
"cs",29,0
"csci",0,22
"csx",0,24
"cue",8,0
"culler",13,0
"culminated",27,0
"culminates",20,0
"culminating",21,0
"cultural",16,38
"culturally",0,17
"culture",36,144
"cultures",53,0
"cumulative",13,0
"curated",4,0
"curation",78,88
"cure",18,7
"current",305,273
"currently",154,136
"curricu",0,24
"curricula",203,236
"curricular",288,95
"curriculum",508,522
"curricuulum",34,0
"custom",0,8
"customers",0,19
"customized",23,23
"cuttingedge",23,0
"cybersecurity",14,0
"cycle",45,246
"d",72,82
"d",0,23
"daily",0,11
"damages",19,0
"damp",10,0
"dana",0,19
"danyllo",23,25
"dashboards",0,69
"data",1959,3099
"data",0,3
"dataanalysisstatisticsdatasciencecourses",0,8
"database",0,197
"databases",0,181
"databerkeleyedueducationdatascholars",0,10
"datacamp",0,14
"datadriven",15,237
"dataenabled",0,13
"dataenriched",0,11
"datafishing",14,0
"datafordemocracyorgprojectsethicshtml",0,15
"datagathering",55,0
"datagov",15,0
"datahas",0,6
"datainformed",0,17
"dataintensive",0,47
"dataoften",0,20
"datas",0,29
"datascience",0,7
"datascienceinthefield",15,0
"datasuch",0,13
"date",32,20
"david",10,0
"days",0,26
"daytoday",0,10
"dc",16,8
"ddegree",27,0
"de",58,65
"deadliest",0,9
"deadly",12,0
"dealings",0,21
"death",11,6
"debatable",0,14
"debate",12,12
"decade",0,62
"decades",0,22
"december",44,33
"decide",0,25
"deciding",0,25
"decision",137,111
"decisionmaking",0,8
"decisions",225,166
"decker",0,1
"decline",0,19
"decompositions",0,25
"decorations",0,20
"decrease",0,23
"dedicate",0,37
"dedicated",31,0
"deep",76,76
"deepen",0,12
"deependent",20,0
"deeper",38,38
"default",12,0
"define",18,47
"defined",0,56
"defines",12,37
"defining",0,29
"definition",17,41
"definitions",23,0
"degree",154,269
"degreegranting",28,0
"degreeprogramoptionscsxdegreeprograms",0,16
"degrees",91,237
"degrree",39,0
"deliberate",16,0
"deliberately",9,0
"deliberation",21,0
"deliberations",14,14
"deliberative",0,9
"deliver",20,64
"deliverable",23,0
"delivered",50,32
"delivering",45,77
"delivery",73,61
"demand",52,251
"demanding",0,25
"demands",29,124
"demographic",0,45
"demographics",0,11
"demography",0,59
"demonstrate",0,73
"demonstrate",0,78
"demonstrated",38,0
"demonstrates",15,11
"demonstrating",0,26
"denero",0,24
"denetclaw",0,1
"denotes",21,0
"department",82,244
"departmental",6,0
"departmentally",0,15
"departmentfrequently",0,12
"departmentlevel",0,23
"departments",230,325
"departmentscommonly",0,16
"departmentscoursesfstatstatf",0,3
"depend",0,20
"dependency",19,20
"dependent",0,11
"depending",24,97
"depends",46,34
"depicted",0,19
"deploy",67,20
"deployed",75,0
"deploying",0,13
"deployment",8,0
"deprived",0,6
"depth",0,106
"derivatives",22,41
"derive",11,0
"derived",0,16
"dermoscopy",0,6
"describe",38,7
"described",104,95
"describes",19,32
"describing",16,4
"description",92,77
"descriptions",12,0
"descriptive",31,32
"design",215,180
"design",0,7
"designed",142,201
"designers",33,0
"designing",21,67
"designintensive",28,0
"desirable",29,0
"desired",62,48
"desiring",0,17
"destinations",0,5
"detail",0,49
"detailed",19,33
"details",19,37
"detect",29,53
"determinants",0,15
"determine",69,60
"determined",12,24
"determining",0,47
"detriment",9,0
"detrimental",18,0
"deveaux",19,0
"develop",246,446
"developed",58,215
"developers",29,73
"developing",259,390
"developing",0,31
"development",391,484
"developments",0,53
"develops",0,18
"devices",54,19
"devote",0,15
"devoted",37,21
"df",0,2
"diagnosis",20,21
"diagrams",34,0
"dialogue",0,14
"dick",0,12
"died",11,0
"diego",0,111
"dietrich",0,10
"differ",91,0
"difference",0,25
"differences",57,93
"different",419,317
"differentiated",0,10
"differentiation",0,5
"differently",0,27
"differing",123,0
"difficult",69,124
"digital",42,113
"digitized",0,16
"digitizing",7,0
"dignities",0,9
"dignity",0,11
"dilemma",0,3
"dilemmas",64,18
"dimension",0,29
"dimensions",0,5
"direct",41,27
"direction",20,0
"directions",139,33
"directly",35,78
"directory",0,7
"disabilities",24,0
"disadvantage",0,34
"disadvantaged",0,15
"disaster",0,18
"disciplinary",15,51
"discipline",465,272
"disciplinebased",0,21
"disciplinecentered",0,46
"disciplinecurrent",0,37
"disciplines",309,360
"disciplinesnotably",0,32
"disciplinethink",0,22
"disclose",0,16
"disclosed",17,14
"disclosure",19,0
"discover",0,38
"discoverers",20,0
"discoveries",35,0
"discovery",37,117
"discrete",0,106
"discuss",13,64
"discussed",97,192
"discusses",26,32
"discussion",58,73
"discussions",23,126
"disease",45,18
"disparate",0,102
"disparities",7,72
"disparity",0,24
"displacing",0,13
"display",0,17
"displays",0,73
"disposal",0,9
"disrupting",0,8
"dissatisfied",18,20
"disseminate",9,0
"dissemination",29,0
"dissertation",0,16
"distillations",13,17
"distinct",19,50
"distinctions",15,11
"distinctive",0,19
"distinctly",55,0
"distinguish",16,29
"distinguished",0,12
"distinguishing",0,20
"distribute",0,12
"distributed",0,64
"distribution",20,0
"distributions",27,0
"district",0,28
"disturbing",0,6
"dive",15,0
"diverse",456,133
"diversifying",0,41
"diversity",189,164
"diversityglobal",24,0
"diversse",27,0
"dives",28,0
"divide",0,10
"division",10,120
"djs",0,15
"dn",0,4
"doctoral",56,28
"doctorall",36,0
"doctors",12,12
"document",0,58
"documentation",30,23
"documenting",16,39
"documents",0,9
"dollars",0,31
"domain",77,225
"domains",95,133
"domainspecific",84,84
"donald",43,0
"dondero",0,18
"done",23,56
"donoho",0,34
"dont",3,12
"dorm",29,0
"double",0,92
"downscale",0,62
"downstream",0,22
"downward",0,20
"dozen",0,38
"dozens",0,17
"draft",10,64
"dramatically",16,0
"draw",89,106
"drawing",57,81
"drawn",0,65
"draws",21,41
"drive",19,52
"driven",0,84
"drivendata",0,40
"driver",0,9
"drivers",0,48
"driving",0,37
"drug",18,27
"dsci",0,29
"dscundergraduateindexhtml",0,10
"dual",22,0
"due",39,23
"duffett",0,22
"duke",20,0
"duplicated",0,21
"duration",22,0
"durations",0,5
"dweck",0,14
"dynamic",0,24
"dynamics",14,9
"­dynamics",0,22
"dystopian",0,19
"e",0,14
"eager",0,14
"earlier",17,22
"early",80,140
"earn",0,5
"earnestine",0,38
"earning",26,18
"earnings",16,69
"ease",22,0
"easier",32,32
"easy",15,0
"ecological",21,4
"ecology",15,0
"economic",57,131
"economically",0,15
"economics",0,141
"economicsstatistics",24,0
"economy",18,36
"ed",0,1
"edges",16,0
"editorial",0,5
"eds",0,7
"edsource",0,1
"edu~rnugentpublicteachingsyllabuspdf",0,0
"eduacademicprogramscomputerscience",0,2
"educate",0,49
"educated",10,41
"educating",0,75
"education",618,965
"educational",423,533
"educationconnectors",0,25
"educations",10,0
"educators",53,142
"educaxi",0,27
"edueecsundergraduatedatascience",0,3
"edufsbacademicsisaacademicsminorsbusinessanalyticsindexhtml",0,2
"edx",0,36
"effect",0,12
"effective",259,321
"effectively",38,164
"effectiveness",129,37
"effects",0,127
"efficiency",12,21
"efficient",0,27
"efficiently",0,56
"effort",21,91
"efforts",250,170
"eg",157,486
"eigenvalues",0,25
"eight",0,80
"either",0,133
"elective",0,135
"electives",23,159
"electrical",28,70
"electronic",0,31
"electronics",0,14
"elegance",0,16
"element",13,16
"elementary",17,0
"elements",79,71
"elementswhether",0,19
"elena",0,38
"elevation",0,12
"eleventh",0,17
"ematics",0,5
"embark",0,21
"embedded",34,0
"emblematic",0,6
"embrace",24,57
"embracing",18,19
"embree",0,19
"emerge",32,100
"emerged",57,23
"emergence",79,52
"emergent",0,17
"emerging",161,191
"emi",17,0
"emigration",0,21
"emphases",0,21
"emphasis",43,48
"emphasize",63,38
"emphasized",15,19
"emphasizes",14,33
"emphasizing",24,4
"empirical",15,70
"empirically",0,12
"employ",0,16
"employees",67,12
"employer",0,22
"employerhousehold",14,22
"employers",77,78
"employment",44,95
"empowered",0,19
"enable",12,126
"enabled",0,49
"enables",28,13
"enabling",34,22
"enacted",17,25
"encompass",23,50
"encompasses",29,0
"encounter",17,0
"encountered",23,13
"encourage",203,77
"encouraged",131,0
"encouragement",0,6
"encourages",13,27
"encouraging",29,44
"encouraging",0,2
"end",21,48
"endeavor",19,24
"endorse",0,19
"endorsed",0,21
"endow",0,17
"endtoend",0,14
"energize",0,12
"enforcement",12,12
"engage",120,225
"engaged",25,32
"engagement",12,41
"engages",33,0
"engaging",20,14
"engineer",13,0
"engineering",163,359
"engineeringnamely",0,17
"engineers",17,69
"england",21,75
"english",0,10
"enhance",190,9
"enhanced",73,0
"enhancement",19,0
"enhances",26,0
"enhancing",26,3
"enhancing",0,2
"enjoy",33,14
"enlisting",0,11
"enncouraging",36,0
"enormous",17,34
"enough",0,35
"enriches",0,15
"enrichment",0,20
"enroll",0,101
"enrolled",11,0
"enrolling",17,27
"enrollment",17,91
"enrollments",0,12
"enrolls",5,0
"ensembles",0,6
"ensure",133,209
"ensures",0,7
"ensuring",42,142
"enter",53,72
"entered",55,0
"entering",17,80
"enterprise",24,48
"entice",0,46
"entire",19,151
"entirely",26,53
"entitle",21,0
"entomological",7,0
"entrance",0,22
"entrants",0,19
